"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vwqf5gd","3804","5","Ayunda Risu","Hololive ID","0","Tue, 14 Nov 2023 08:54:11 GMT","1699952051269","18","","","","No","No","bignumber","","62","0","0","353718806025207808","353718806025207808","1094118704247209987","11","F","S","S","S","F","F","D","",""
"vwqf5rw","7014","1","Poki","The Legend of Korra","1","Tue, 14 Nov 2023 08:22:43 GMT","1699950163594","13","","","","No","No","burn","","1","0","1","353718806025207808","353718806025207808","1094118704247209987","6","F","S","S","S","A","F","D","",""
"vwq9jk7","59172","1","Farrah","Chain Chronicle: The Light of Haecceitas","1","Tue, 14 Nov 2023 07:46:55 GMT","1699948015095","3","","","","No","No","hot","","1","0","1","353718806025207808","353718806025207808","1094118704247209987","1","F","S","S","S","A","F","D","",""
"vwqg9sj","4325","2","Ursa","Avatar: The Last Airbender","2","Tue, 14 Nov 2023 07:16:47 GMT","1699946207447","45","","","","No","No","burn","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","24","F","S","S","S","A","F","D","",""
"vwq9mnk","16914","2","Shiro","Yakuza 3","2","Tue, 14 Nov 2023 06:46:37 GMT","1699944397601","14","","","","No","No","burn","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","8","F","S","S","S","A","F","D","",""
"vwqbztq","87","6","Rikka Takarada","SSSS.Gridman","0","Mon, 13 Nov 2023 20:09:40 GMT","1699906180901","21","","","","No","No","lownumber","","83","0","0","353718806025207808","353718806025207808","1094118704247209987","13","F","S","S","S","A","F","D","",""
"vwqbq46","59194","1","Chiffon","Magical Meow Meow Taruto","2","Mon, 13 Nov 2023 19:39:21 GMT","1699904361505","9","","","","No","No","burn","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","4","F","S","S","S","A","F","D","",""
"vwq55bh","59321","1","Isabelle","The Ancient Magus' Bride","1","Mon, 13 Nov 2023 19:07:27 GMT","1699902447444","3","","","","No","No","burn","","1","0","1","353718806025207808","353718806025207808","1094118704247209987","1","F","S","S","S","S","F","D","",""
"vwqk70f","59112","1","Misa Nishimori","Charlotte","4","Mon, 13 Nov 2023 18:37:15 GMT","1699900635410","78","","","","No","No","burn","","1","0","4","353718806025207808","353718806025207808","1094118704247209987","44","F","S","S","S","A","F","D","",""
"vwq23cl","58890","1","Junpei Shiroyama","Dimension High School","2","Mon, 13 Nov 2023 17:08:10 GMT","1699895290243","4","","","","No","No","burn","","0","0","2","353718806025207808","353718806025207808","1094118704247209987","1","F","S","S","S","A","F","D","",""
"vwq2vrv","27594","2","Chiyo Shimada","Girls und Panzer der Film","2","Mon, 13 Nov 2023 16:31:48 GMT","1699893108739","22","","","","No","No","burn","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","14","F","S","S","S","A","F","D","",""
"vwq2lfs","58521","1","Marle","Chrono Trigger","2","Mon, 13 Nov 2023 15:49:47 GMT","1699890587369","3","","","","No","No","burn","","2","0","2","353718806025207808","353718806025207808","1094118704247209987","1","F","S","S","S","C","F","D","",""
"vwqhzwd","65","6","Koga Oogami","Ensemble Stars!","2","Mon, 13 Nov 2023 15:17:49 GMT","1699888669820","87","","","","No","No","lownumber","","45","0","2","353718806025207808","353718806025207808","1094118704247209987","49","F","S","S","S","A","F","D","",""
"vwqh4mq","59139","1","Kaoruko Nijouin","Pastel Memories","3","Mon, 13 Nov 2023 14:45:55 GMT","1699886755476","12","","","","No","No","burn","","0","0","3","353718806025207808","353718806025207808","1094118704247209987","5","F","S","S","S","B","F","D","",""
"vwqqq9q","35159","2","Takumi Ichinose","Nana","2","Mon, 13 Nov 2023 13:41:22 GMT","1699882882927","22","","","","No","No","burn","","6","0","2","353718806025207808","353718806025207808","1094118704247209987","14","F","S","S","S","S","F","D","",""
"vwqvr20","296","5","Beezel Chrome","Farming Life in Another World","0","Mon, 13 Nov 2023 12:06:01 GMT","1699877161178","10","","","","No","No","lownumber","","0","0","0","353718806025207808","353718806025207808","1094118704247209987","5","F","S","S","S","A","F","D","",""
"vwqvdhr","51230","1","Brian Battler","The King of Fighters '94","2","Mon, 13 Nov 2023 10:37:07 GMT","1699871827766","3","","","","No","No","burn","","0","0","2","353718806025207808","353718806025207808","1094118704247209987","1","F","S","S","S","B","F","D","",""
"vwqm2kj","2023","5","Haruhisa Shimazu","Orient","1","Mon, 13 Nov 2023 09:57:05 GMT","1699869425287","19","","","","No","No","burn","","1","0","1","353718806025207808","353718806025207808","1094118704247209987","13","F","S","S","S","B","F","D","",""
"vw0ct9d","3223","5","Frederica Nikola Tesla","Honkai Impact 3rd","2","Mon, 13 Nov 2023 09:12:28 GMT","1699866748258","62","","","","No","No","game","","7","0","2","353718806025207808","353718806025207808","1094118704247209987","36","F","S","S","S","S","F","D","",""
"vwqmhr2","4369","2","Shibuya Hajime","Nijisanji","2","Mon, 13 Nov 2023 08:20:37 GMT","1699863637238","36","","","","No","No","burn","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","19","F","S","S","S","B","F","D","",""
"vw06qr6","31093","1","Edel","Elsword","2","Mon, 13 Nov 2023 07:49:05 GMT","1699861745327","7","","","","No","No","burn","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","4","F","S","S","S","A","F","D","",""
"vw0xx8q","21741","2","Ragar Kertia","Noblesse","2","Mon, 13 Nov 2023 07:01:32 GMT","1699858892449","20","","","","No","No","burn","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","13","F","S","S","S","A","F","D","",""
"vw0687r","33023","2","Elisabeth Blanctorche","The King of Fighters XI","1","Mon, 13 Nov 2023 06:31:19 GMT","1699857079421","8","","","","No","No","burn","","1","0","1","353718806025207808","353718806025207808","1094118704247209987","4","F","S","S","S","A","F","D","",""
"vw0stdd","59087","1","Atom Heart Father","JoJo's Bizarre Adventure: Diamond Is Unbreakable","1","Mon, 13 Nov 2023 04:46:26 GMT","1699850786880","8","","","","No","No","burn","","1","0","1","353718806025207808","353718806025207808","1094118704247209987","4","F","S","S","S","S","F","D","",""
"vw0smbj","24316","2","Politis","Epic Seven","3","Mon, 13 Nov 2023 04:14:42 GMT","1699848882902","56","","","","No","No","burn","","2","0","3","353718806025207808","353718806025207808","1094118704247209987","29","F","S","S","S","A","F","D","",""
"vw0sgtv","19822","3","Whisky","Food Fantasy","0","Mon, 13 Nov 2023 03:44:34 GMT","1699847074739","9","","","","No","No","pidge","","11","0","0","353718806025207808","353718806025207808","1094118704247209987","4","F","S","S","S","S","F","D","",""
"vw077cm","3584","5","Hari","My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!","2","Mon, 13 Nov 2023 01:25:48 GMT","1699838748490","24","","","","No","No","burn","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","14","F","S","S","S","A","F","D","",""
"vw07k2m","20013","2","Chicken Strip Soup","Food Fantasy","3","Mon, 13 Nov 2023 00:55:59 GMT","1699836959777","76","","","","No","No","hot","","10","0","3","353718806025207808","353718806025207808","1094118704247209987","38","F","S","S","S","F","F","D","",""
"vw04qw2","59444","1","Squishy","Pokémon XY & Z","2","Sun, 12 Nov 2023 14:21:30 GMT","1699798890803","16","","","","No","No","game","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","8","F","S","S","S","B","F","D","",""
"vw0zf8r","59261","1","Thailand","Hetalia: The Beautiful World","2","Sun, 12 Nov 2023 13:44:56 GMT","1699796696343","5","","","","No","No","anime","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","1","F","S","S","S","A","F","D","",""
"vw0nz35","58991","1","Natsuo Fujii","Domestic Girlfriend","3","Sun, 12 Nov 2023 13:10:57 GMT","1699794657064","24","","","","No","No","anime","","6","0","3","353718806025207808","353718806025207808","1094118704247209987","14","F","S","S","S","A","F","D","",""
"vw0np5p","59227","1","Akane Sakurai","Girl Friend BETA","2","Sun, 12 Nov 2023 12:40:08 GMT","1699792808750","6","","","","No","No","burn","","1","0","2","353718806025207808","353718806025207808","1094118704247209987","4","F","S","S","S","S","F","D","",""
"vw0j6tc","21493","2","Chrono Harlaown","Magical Girl Lyrical Nanoha","3","Sun, 12 Nov 2023 12:09:53 GMT","1699790993300","31","","","","No","No","burn","","1","0","3","353718806025207808","353718806025207808","1094118704247209987","19","F","S","S","S","S","F","D","",""
"vw058sk","19654","3","Gobta","That Time I Got Reincarnated as a Slime","3","Sun, 12 Nov 2023 07:57:32 GMT","1699775852147","86","","","","No","No","burn","","20","0","3","353718806025207808","353718806025207808","1094118704247209987","48","F","S","S","S","A","F","D","",""
